id,city,stateOrProvince,bathrooms,bedrooms,listPrice,livingArea,yearBuilt,propertySubType,listingCategory,numParkingSpaces,photoscount,grade
2698139,St Peters,1000,6,5,425000,3046,1998,10,1,3,29,awesome
2698093,St Louis,1000,2,3,175000,1587,1962,10,1,1,29,awesome
2698007,Ballwin,1000,3,3,295000,2437,1986,20,1,2,29,awesome
2697963,Manchester,1000,2,3,215000,1780,1969,10,1,2,29,awesome
2697938,Ofallon,1000,4,4,375000,3405,2007,10,1,3,29,awesome
2697936,Wildwood,1000,3,4,299900,1814,1999,10,1,2,29,awesome
2697845,Monroe City,1000,1,2,140000,2800,2012,10,1,2,29,awesome
2697825,Bismarck,1000,1,3,82500,1435,1954,10,1,1,29,awesome
2697732,St Louis,1000,4,4,239900,2358,1903,10,1,2,29,awesome
2697716,Fenton,1000,3,3,239900,1524,1985,10,1,2,29,awesome
2697594,Coral Springs,1001,3,2,109990,1377,1984,20,1,0,29,awesome
2697536,Coral Springs,1001,3,4,3000,,2000,10,2,3,29,awesome
2697492,Surfside,1001,3,2,3995000,1882,2017,20,1,0,29,awesome
2697491,Miami,1001,2,4,374000,1994,1986,10,1,0,29,awesome
2697464,Miami,1001,3,3,1750,,1996,70,2,0,29,awesome
2697341,Miami Beach,1001,2,1,615000,778,2008,20,1,1,29,awesome
2697334,Miami,1001,3,3,1225000,2399,1954,10,1,0,29,awesome
2697288,Miami Beach,1001,1,1,1350,,1976,20,2,1,29,awesome
2697218,Coral Springs,1001,2,4,415000,2310,1984,10,1,2,29,awesome
2697153,Sunrise,1001,2,4,379900,2242,1973,10,1,1,29,awesome
2697126,Pompano Beach,1001,2,3,228000,1390,1972,20,1,0,29,awesome
2697005,Sunrise,1001,2,2,85900,850,1975,20,1,0,29,awesome
2696974,Miami,1001,2,2,265000,1304,1984,10,1,0,29,awesome
2696672,Aventura,1001,2,2,227000,1081,1971,20,1,1,29,awesome
2696669,Aventura,1001,2,2,360000,1750,1995,20,1,1,29,awesome
2696650,Doral,1001,5,5,855000,4309,2017,10,1,4,29,awesome
2696607,Miami Gardens,1001,3,4,320000,1921,1955,10,1,2,29,awesome
2696535,Miami Beach,1001,2,1,552000,865,1965,20,1,1,29,awesome
2696520,Miami,1001,2,2,2700,,2006,60,2,1,29,awesome
2696463,Coconut Grove,1001,2,2,5500,,2018,20,2,1,29,awesome
2696369,Homestead,1001,3,4,293000,2513,2003,10,1,2,29,awesome
2696296,Hialeah,1001,2,4,450000,2007,1987,10,1,2,29,awesome
2696238,Miami,1001,1,3,279400,1071,1953,10,1,0,29,awesome
2696235,Hialeah,1001,2,3,314900,2693,1984,10,1,1,29,awesome
2696217,Palmetto Bay,1001,3,5,949000,5414,1980,10,1,2,29,awesome
2696170,Hollywood,1001,2,2,125000,1078,1972,20,1,0,29,awesome
2696160,Miami,1001,3,4,2575,,1989,10,2,2,29,awesome
2696077,Homestead,1001,2,4,279000,2270,2005,10,1,2,29,awesome
2696070,Miami,1001,2,3,515900,2570,1958,10,1,0,29,awesome
2696029,Homestead,1001,2,4,415000,2624,2000,10,1,2,29,awesome
2696021,Aventura,1001,1,1,1550,,1971,20,2,1,29,awesome
2695964,Bay Harbor Islands,1001,1,1,2100,,1966,20,2,1,29,awesome
2695913,Miramar,1001,3,4,2550,,2002,70,2,1,29,awesome
2695219,Montgomery,1002,2,3,125000,2052,1954,10,1,,29,awesome
2695207,Ramer,1002,2,3,82900,1064,2007,10,1,,29,awesome
2683453,Las Vegas,1003,3,3,1595,2005,2004,10,2,,35,awesome
2683452,Las Vegas,1003,2,3,1200,1255,2006,20,2,,50,awesome
2683451,Las Vegas,1003,2,3,1100,1026,1972,70,2,,40,awesome
2683450,Las Vegas,1003,2,2,1000,960,1999,20,2,,47,awesome
2683449,North Las Vegas,1003,3,4,1495,2047,2000,10,2,,35,awesome
2683448,Las Vegas,1003,4,3,1900,1584,2007,20,2,,48,awesome
2683446,Las Vegas,1003,2,3,269900,1673,2008,10,1,,35,awesome
2683444,Las Vegas,1003,3,3,339900,2494,2003,10,1,,35,awesome
2683440,Las Vegas,1003,3,2,2450,1856,1974,20,2,,47,awesome
2683435,Las Vegas,1003,2,1,1995,1534,1974,20,2,,34,awesome
2683432,Henderson,1003,3,3,1895,2851,2007,10,2,,40,awesome
2683431,Las Vegas,1003,2,2,139900,1053,2002,20,1,,35,awesome
2683425,North Las Vegas,1003,2,3,264900,1371,2009,10,1,,33,awesome
2683424,Las Vegas,1003,2,3,228900,1233,1978,10,1,,30,awesome
2683422,Las Vegas,1003,2,2,265888,1243,2006,20,1,,39,awesome
2683421,Las Vegas,1003,3,4,290000,2002,1997,10,1,,41,awesome
2683420,Las Vegas,1003,2,3,415000,2161,2003,10,1,,42,awesome
2683419,Las Vegas,1003,3,5,499999,4106,1984,10,1,,48,awesome
2683418,North Las Vegas,1003,2,2,338888,1677,2011,10,1,,47,awesome
2683415,Las Vegas,1003,3,5,2250,2291,1995,10,2,,33,awesome
2683408,Las Vegas,1003,3,4,429900,2678,2003,10,1,,49,awesome
2683406,Las Vegas,1003,4,3,4000,3586,2007,10,2,,50,awesome
2683405,Las Vegas,1003,2,3,315000,1268,1995,10,1,,33,awesome
2683404,North Las Vegas,1003,3,3,249950,1596,2000,10,1,,35,awesome
2683402,Las Vegas,1003,4,5,599000,4522,2012,10,1,,45,awesome
2683401,Pioche,1003,2,3,395000,2072,2015,10,1,,31,awesome
2683399,Pahrump,1003,6,3,378000,4801,2005,10,1,,35,awesome
2683397,Pahrump,1003,2,3,208000,1304,1998,10,1,,35,awesome
2683396,Pahrump,1003,3,4,269900,2078,2007,10,1,,32,awesome
2683394,Pahrump,1003,2,3,227000,1591,2008,10,1,,45,awesome
2683393,Pahrump,1003,3,4,249500,2060,1994,120,1,,43,awesome
2683392,Other,1003,3,4,1800,1882,2003,10,2,,47,awesome
2683391,Las Vegas,1003,2,4,2500,1533,1976,10,2,,33,awesome
2683389,North Las Vegas,1003,3,4,299900,1987,1995,10,1,,42,awesome
2683388,Las Vegas,1003,2,4,2200,1337,1972,10,2,,32,awesome
2683386,Las Vegas,1003,2,3,1795,1273,1999,10,2,,35,awesome
2683384,Henderson,1003,3,5,415000,2869,1994,10,1,,41,awesome
2683377,Pahrump,1003,2,3,238900,1738,2004,10,1,,33,awesome
2683374,Las Vegas,1003,3,3,435000,2519,2014,10,1,,36,awesome
2683371,Las Vegas,1003,3,3,399999,2061,2015,10,1,,34,awesome
2683370,Las Vegas,1003,3,4,278888,1869,1983,10,1,,41,awesome
2683366,Henderson,1003,4,4,1875,2044,2017,10,2,,47,awesome
2683360,Henderson,1003,3,3,338800,1835,2015,10,1,,50,awesome
2683343,Las Vegas,1003,3,4,499900,3704,2005,10,1,,50,awesome
2683342,Henderson,1003,4,4,749000,3623,2006,10,1,,41,awesome
2652732,Jupiter,1001,2,2,579000,1910,2008,10,1,2,36,awesome
2652725,Rosemount,1004,3,3,279900,2075,1959,10,1,2,42,awesome
2651253,Lucas,1005,3,4,4395,3545,2018,10,2,3,33,awesome
2651251,Prosper,1005,3,4,3700,3216,2017,10,2,3,31,awesome
2651249,Prosper,1005,3,4,3880,3401,2018,10,2,3,30,awesome
2651248,Lucas,1005,4,4,4695,3777,2017,10,2,3,30,awesome
2651247,Lucas,1005,4,4,5195,4101,2017,10,2,3,33,awesome
2651246,Lucas,1005,4,4,4650,4041,2018,10,2,3,31,awesome
2651232,Pottsboro,1005,3,4,265000,2285,1975,10,1,0,30,awesome
2651224,Lewisville,1005,4,4,509000,3568,2009,10,1,2,36,awesome
2651210,Allen,1005,3,4,2800,2609,2019,10,2,2,35,awesome
2651188,Sanger,1005,3,4,350000,2297,1999,10,1,8,34,awesome
2651178,Richardson,1005,1,2,1000,942,1962,30,2,1,30,awesome
2648579,Lewiston,1006,3,4,350000,3504,1987,10,1,,34,awesome
2622673,Lutz,1001,2,3,299900,2341,1998,10,1,3,28,awesome
2574950,St Petersburg,1001,1,2,175000,860,1965,10,1,1,28,awesome
2518922,Shirley,1007,1,2,95000,,1960,10,1,,6,good
2517212,Sarasota,1001,2,3,345000,2161,1995,50,1,2,32,awesome
2511861,Marina Del Rey,1008,3,2,1739000,1481,2003,20,1,,54,awesome
2511356,Little Rock,1009,2,3,149500,1605,1964,50,1,,28,awesome
2497391,ST JOHNS,1001,3,3,195000,1607,2005,70,1,,29,awesome
2494148,Las Vegas,1003,3,3,285000,1634,2007,10,1,,29,awesome
2489057,Jeffersonville,1010,3,3,162900,1584,2005,10,1,2,35,awesome
2488871,Derby,1011,2,4,119900,1779,1955,10,1,,29,awesome
2484630,SOUTH PASADENA,1001,0,0,349000,3172,1954,30,1,1,50,awesome
2484416,SEMINOLE,1001,2,3,98499,1125,1978,20,1,,34,awesome
2482157,Frisco,1005,4,5,712000,4747,2014,10,1,3,29,awesome
2481054,Dry Ridge,1012,3,3,164900,1693,,10,1,2,30,awesome
2480477,JACKSONVILLE,1001,2,3,199900,1395,1976,10,1,,29,awesome
2476919,TAMPA,1001,5,6,675000,4421,1992,10,1,3,50,awesome
